downloaded_at,species_latin,recording_id,source_url,download_url,target_path,status,bytes,message
2026-05-24T11:02:42,Pholidoptera griseoaptera,847630,https://xeno-canto.org/847630,https://xeno-canto.org/847630/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847630-BL20220723-04010005.wav,downloaded,2982622,
2026-05-24T11:02:44,Pholidoptera griseoaptera,847632,https://xeno-canto.org/847632,https://xeno-canto.org/847632/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847632-BL20220723-04010007.wav,downloaded,2902750,
2026-05-24T11:02:45,Pholidoptera griseoaptera,847637,https://xeno-canto.org/847637,https://xeno-canto.org/847637/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847637-BL20220723-04010012.wav,downloaded,2570870,
2026-05-24T11:02:46,Pholidoptera griseoaptera,847635,https://xeno-canto.org/847635,https://xeno-canto.org/847635/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847635-BL20220723-04010010.wav,downloaded,3171038,
2026-05-24T11:02:47,Pholidoptera griseoaptera,847638,https://xeno-canto.org/847638,https://xeno-canto.org/847638/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847638-BL20220723-04010013.wav,downloaded,3408606,
2026-05-24T11:02:48,Pholidoptera griseoaptera,847640,https://xeno-canto.org/847640,https://xeno-canto.org/847640/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847640-BL20220723-04010015.wav,downloaded,4014814,
2026-05-24T11:02:49,Pholidoptera griseoaptera,851722,https://xeno-canto.org/851722,https://xeno-canto.org/851722/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC851722-NOISE_20200813_180310.wav,downloaded,3864114,
2026-05-24T11:02:51,Pholidoptera griseoaptera,847629,https://xeno-canto.org/847629,https://xeno-canto.org/847629/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847629-BL20220723-04010004.wav,downloaded,4950750,
2026-05-24T11:02:52,Pholidoptera griseoaptera,847634,https://xeno-canto.org/847634,https://xeno-canto.org/847634/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847634-BL20220723-04010009.wav,downloaded,5292662,
2026-05-24T11:02:54,Pholidoptera griseoaptera,847639,https://xeno-canto.org/847639,https://xeno-canto.org/847639/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847639-BL20220723-04010014.wav,downloaded,5874398,
2026-05-24T11:02:57,Pholidoptera griseoaptera,849665,https://xeno-canto.org/849665,https://xeno-canto.org/849665/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC849665-NoID_20200814_165154.wav,downloaded,12989052,
2026-05-24T11:03:00,Pholidoptera griseoaptera,846585,https://xeno-canto.org/846585,https://xeno-canto.org/846585/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC846585-20200813_165946.wav,downloaded,14119588,
2026-05-24T11:03:03,Pholidoptera griseoaptera,850169,https://xeno-canto.org/850169,https://xeno-canto.org/850169/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC850169-NoID_20230902_220447.wav,downloaded,13939404,
2026-05-24T11:03:08,Leptophyes punctatissima,1095719,https://xeno-canto.org/1095719,https://xeno-canto.org/1095719/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/leptophyes-punctatissima/XC1095719-L-punctatissima_P-nana-n16_Lureuil-36_2025-09-17_21_29_27_M00009++rep-femelle.wav,downloaded,22906294,
2026-05-24T11:03:15,Leptophyes punctatissima,967730,https://xeno-canto.org/967730,https://xeno-canto.org/967730/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/leptophyes-punctatissima/XC967730-L-punctatissima-n16_Clergoux-19_2021-08-31_22_25_42_M00052+++rep-femelle.wav,downloaded,31323422,
2026-05-24T11:03:22,Leptophyes punctatissima,967731,https://xeno-canto.org/967731,https://xeno-canto.org/967731/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/leptophyes-punctatissima/XC967731-L-punctatissima-n16_Clergoux-19_2021-08-31_22_32_00_M00053+++.wav,downloaded,39212588,
2026-05-24T11:03:23,Leptophyes punctatissima,846655,https://xeno-canto.org/846655,https://xeno-canto.org/846655/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/leptophyes-punctatissima/XC846655-20210903_204934.wav,downloaded,3883470,
2026-05-24T11:03:25,Leptophyes punctatissima,846656,https://xeno-canto.org/846656,https://xeno-canto.org/846656/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/leptophyes-punctatissima/XC846656-20210903_204939.wav,downloaded,4056526,
2026-05-24T11:03:26,Leptophyes punctatissima,846657,https://xeno-canto.org/846657,https://xeno-canto.org/846657/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/leptophyes-punctatissima/XC846657-20210903_204945.wav,downloaded,3933646,
2026-05-24T11:03:27,Leptophyes punctatissima,851720,https://xeno-canto.org/851720,https://xeno-canto.org/851720/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/leptophyes-punctatissima/XC851720-NOISE_20200813_175924.wav,downloaded,3864108,
